Record Type,Customer Name,Created Date,Total Amount,Status
Estimate,Ray Hansen,01/09/2026,18907,open - no response
Completed Job,Luis Thompson,08/15/2024,28667,closed won
Missed Call,Carl Olsen,08/05/2026,,
Completed Job,Kevin Olsen,01/31/2026,23812,closed won
Estimate,Luis Miller,06/13/2026,20065,open - no response
Missed Call,Donna Baker,07/23/2026,,
Completed Job,Ray Miller,08/30/2022,33851,closed won
Completed Job,Ted Thompson,10/03/2020,31745,closed won
Completed Job,Carl Weber,06/07/2025,32792,closed won
Completed Job,Donna Ortiz,08/17/2023,27708,closed won
Estimate,Nina Ortiz,05/03/2024,29076,lost
Estimate,Dale Reed,05/30/2025,28078,lost
Completed Job,Maria Chandler,01/29/2025,29930,closed won
Completed Job,Maria Garcia,10/12/2021,33619,closed won
Estimate,Nina Baker,05/04/2026,27658,open - no response
Completed Job,Jim Thompson,10/02/2020,10161,closed won
Completed Job,Ted Hansen,10/16/2023,31862,closed won
Estimate,Luis Hansen,11/19/2024,29371,lost
Completed Job,Carl Weber,02/25/2022,17254,closed won
Missed Call,Beth Foster,07/18/2026,,
Missed Call,Donna Ortiz,07/18/2026,,
Completed Job,Donna Nguyen,12/10/2020,24072,closed won
Completed Job,Dale Reed,12/07/2021,25659,closed won
Completed Job,Sandra Nguyen,12/28/2021,13181,closed won
Completed Job,Donna Baker,11/26/2024,21596,closed won
Completed Job,Maria Foster,05/03/2023,29200,closed won
Completed Job,Pat Chandler,08/14/2022,28469,closed won
Completed Job,Nina Baker,05/09/2022,16165,closed won
Missed Call,Rosa Nguyen,07/27/2026,,
Completed Job,Pat Chandler,02/18/2025,21581,closed won
Completed Job,Sandra Ortiz,06/22/2024,20227,closed won
Completed Job,Beth Foster,01/18/2026,17465,closed won
Completed Job,Sandra Baker,02/27/2024,22370,closed won
Missed Call,Kevin Olsen,08/04/2026,,
Completed Job,Donna Baker,02/20/2025,32658,closed won
Completed Job,Maria Garcia,04/11/2025,22086,closed won
Completed Job,Sandra Ortiz,01/14/2022,33060,closed won
Completed Job,Pat Chandler,04/29/2021,12773,closed won
Completed Job,Nina Ortiz,08/26/2024,10019,closed won
Completed Job,Kevin Reed,10/10/2021,15629,closed won
Completed Job,Jim Miller,02/03/2023,10421,closed won
Completed Job,Rosa Ortiz,02/28/2020,22722,closed won
Completed Job,Nina Ortiz,08/20/2024,26448,closed won
Completed Job,Ted Hansen,03/17/2024,18562,closed won
Completed Job,Gloria Foster,07/03/2024,20072,closed won
Completed Job,Luis Hansen,06/04/2024,27553,closed won
Completed Job,Donna Nguyen,05/23/2023,13999,closed won
Completed Job,Carl Weber,04/30/2023,23681,closed won
Estimate,Donna Ortiz,06/18/2026,24936,open - no response
Estimate,Kevin Olsen,07/08/2026,13382,open - no response
Estimate,Sandra Baker,07/07/2026,16909,open - no response
Completed Job,Nina Ortiz,12/21/2022,32574,closed won
Completed Job,Hank Olsen,06/21/2020,27678,closed won
Completed Job,Rosa Nguyen,01/13/2026,29062,closed won
Completed Job,Hank Weber,07/15/2024,32963,closed won
Estimate,Pat Garcia,10/17/2025,19547,open - no response
Completed Job,Gloria Garcia,08/31/2024,25178,closed won
Completed Job,Luis Hansen,06/18/2020,21557,closed won
Completed Job,Gloria Chandler,11/01/2022,30282,closed won
Missed Call,Carl Reed,08/07/2026,,
Completed Job,Gloria Foster,01/07/2023,32611,closed won
Completed Job,Gloria Chandler,11/14/2022,31290,closed won
Completed Job,Donna Nguyen,09/08/2023,25948,closed won
Completed Job,Gloria Garcia,01/06/2021,30567,closed won
Missed Call,Luis Hansen,07/24/2026,,
Completed Job,Hank Reed,11/21/2024,25028,closed won
Estimate,Maria Chandler,01/29/2026,17555,open - no response
Completed Job,Gloria Chandler,12/28/2025,19689,closed won
Completed Job,Sandra Baker,11/02/2023,23100,closed won
Estimate,Nina Ortiz,05/06/2026,21980,open - no response
Completed Job,Carl Reed,09/24/2020,24377,closed won
Completed Job,Jim Miller,05/31/2020,16459,closed won
Estimate,Dale Weber,12/14/2025,21398,open - no response
Completed Job,Ray Miller,11/16/2023,17692,closed won
Missed Call,Nina Nguyen,07/14/2026,,
Missed Call,Luis Miller,07/31/2026,,
Completed Job,Kevin Weber,11/18/2022,30650,closed won
Completed Job,Rosa Baker,09/16/2024,15398,closed won
Completed Job,Ted Thompson,09/24/2023,28291,closed won
Completed Job,Nina Baker,06/02/2021,14328,closed won
Missed Call,Ray Miller,07/27/2026,,
Completed Job,Sandra Baker,05/09/2020,20545,closed won
Completed Job,Beth Foster,09/14/2023,32660,closed won
Completed Job,Sandra Baker,03/12/2025,33657,closed won
Completed Job,Jim Hansen,10/31/2024,23763,closed won
Completed Job,Maria Chandler,11/08/2020,14486,closed won
Completed Job,Jim Hansen,01/24/2021,10081,closed won
Completed Job,Beth Garcia,02/26/2021,15844,closed won
Completed Job,Nina Ortiz,04/05/2024,28148,closed won
Completed Job,Beth Foster,04/11/2024,29505,closed won
Completed Job,Ray Hansen,07/17/2025,20618,closed won
Completed Job,Carl Weber,02/14/2023,9091,closed won
Completed Job,Kevin Weber,05/22/2024,15908,closed won
Completed Job,Kevin Weber,02/26/2023,16715,closed won
Estimate,Dale Reed,04/09/2026,29314,open - no response
Estimate,Kevin Weber,04/23/2026,28699,open - no response
Estimate,Beth Chandler,01/10/2026,19465,open - no response
Completed Job,Rosa Nguyen,12/22/2020,10182,closed won
Estimate,Luis Thompson,10/07/2025,25114,open - no response
Completed Job,Kevin Reed,04/30/2023,10465,closed won
Completed Job,Luis Thompson,02/19/2022,33867,closed won
Completed Job,Ray Thompson,12/03/2022,22332,closed won
Missed Call,Ted Hansen,07/20/2026,,
Completed Job,Pat Garcia,10/12/2021,14999,closed won
Completed Job,Ray Thompson,08/21/2021,14200,closed won
Completed Job,Ray Miller,04/30/2020,12614,closed won
Missed Call,Gloria Chandler,08/05/2026,,
Estimate,Sandra Nguyen,12/04/2025,27663,open - no response
Estimate,Ted Thompson,05/07/2026,15152,open - no response
Completed Job,Donna Ortiz,03/31/2025,24987,closed won
Completed Job,Hank Reed,12/26/2025,20875,closed won
Estimate,Dale Olsen,02/13/2026,20330,open - no response
Completed Job,Ted Miller,06/29/2025,15842,closed won
Estimate,Carl Weber,12/04/2025,28875,open - no response
Completed Job,Jim Hansen,12/30/2023,31450,closed won
Completed Job,Donna Baker,08/25/2021,18471,closed won
Completed Job,Ted Miller,12/18/2020,18423,closed won
Completed Job,Nina Ortiz,07/11/2021,11857,closed won
Estimate,Maria Garcia,03/17/2026,14146,open - no response
Completed Job,Rosa Baker,08/31/2023,21767,closed won
Missed Call,Nina Ortiz,08/05/2026,,
Estimate,Hank Olsen,01/18/2026,21864,open - no response
Completed Job,Gloria Chandler,06/23/2025,15167,closed won
Completed Job,Dale Reed,12/02/2023,11857,closed won
Estimate,Nina Nguyen,05/23/2026,20443,open - no response
Estimate,Pat Garcia,07/15/2026,24410,open - no response
Completed Job,Carl Weber,03/02/2020,31848,closed won
Estimate,Rosa Ortiz,11/10/2025,17654,open - no response
Completed Job,Sandra Ortiz,08/22/2021,12130,closed won
Completed Job,Pat Garcia,12/30/2024,29473,closed won
Missed Call,Jim Hansen,08/06/2026,,
Estimate,Ray Thompson,02/05/2026,15330,open - no response
Completed Job,Gloria Chandler,02/12/2021,27673,closed won
Completed Job,Pat Chandler,01/14/2025,16804,closed won
Completed Job,Kevin Olsen,09/20/2023,30188,closed won
Completed Job,Gloria Garcia,12/19/2024,17928,closed won
Completed Job,Dale Olsen,10/01/2020,10079,closed won
Completed Job,Beth Chandler,08/12/2021,30020,closed won
Completed Job,Maria Chandler,07/11/2022,22882,closed won
Completed Job,Ted Miller,12/21/2025,20222,closed won
Completed Job,Sandra Ortiz,04/06/2023,33017,closed won
Completed Job,Nina Baker,04/27/2025,20530,closed won
Completed Job,Sandra Nguyen,04/27/2026,23120,closed won
Completed Job,Jim Thompson,07/07/2025,19009,closed won
Missed Call,Dale Weber,07/14/2026,,
Completed Job,Gloria Foster,04/24/2021,14365,closed won
Completed Job,Jim Thompson,05/09/2023,9154,closed won
Estimate,Ted Miller,09/24/2025,22098,open - no response
Completed Job,Ray Thompson,09/07/2022,27719,closed won
Completed Job,Hank Weber,06/09/2025,23336,closed won
Estimate,Hank Weber,05/06/2026,23759,open - no response
Completed Job,Carl Olsen,05/28/2024,24457,closed won
Completed Job,Rosa Nguyen,03/05/2026,26306,closed won
Completed Job,Maria Garcia,03/25/2022,26368,closed won
Completed Job,Maria Foster,05/17/2021,25041,closed won
Completed Job,Luis Miller,03/16/2021,24341,closed won
Completed Job,Sandra Ortiz,10/08/2024,33678,closed won
Estimate,Carl Reed,05/28/2026,13154,open - no response
Estimate,Maria Chandler,01/03/2025,17506,lost
Completed Job,Kevin Olsen,01/14/2020,17111,closed won
Completed Job,Ray Hansen,12/27/2022,11408,closed won
Completed Job,Luis Thompson,05/13/2024,29653,closed won
Completed Job,Nina Baker,10/19/2022,16960,closed won
Completed Job,Beth Foster,01/25/2025,29662,closed won
Completed Job,Carl Reed,05/22/2020,33076,closed won
Completed Job,Gloria Foster,02/04/2021,26525,closed won
Completed Job,Maria Foster,09/06/2020,30854,closed won
Completed Job,Nina Nguyen,11/26/2023,17022,closed won
Completed Job,Donna Ortiz,06/20/2020,26361,closed won
Completed Job,Maria Garcia,01/01/2023,21786,closed won
Estimate,Jim Thompson,12/27/2025,19895,open - no response
Completed Job,Ted Thompson,11/25/2021,16534,closed won
Estimate,Ted Hansen,06/25/2026,28611,open - no response
Completed Job,Ray Hansen,12/29/2022,13337,closed won
Completed Job,Gloria Foster,01/07/2024,15860,closed won
Completed Job,Maria Chandler,01/13/2024,19665,closed won
Completed Job,Ted Miller,05/04/2022,13173,closed won
Completed Job,Luis Thompson,01/09/2024,21200,closed won
Estimate,Ray Miller,07/03/2024,14934,lost
Missed Call,Pat Foster,07/20/2026,,
Completed Job,Dale Weber,10/22/2022,30161,closed won
Estimate,Dale Reed,02/15/2026,14638,open - no response
Completed Job,Dale Reed,11/12/2024,22949,closed won
Completed Job,Donna Ortiz,10/23/2024,19232,closed won
Missed Call,Gloria Garcia,08/03/2026,,
Completed Job,Dale Olsen,02/21/2020,19907,closed won
Completed Job,Jim Thompson,05/18/2020,26290,closed won
Completed Job,Sandra Baker,07/22/2024,9237,closed won
